Data,Graph,full,multi,paired1,paired2,Number of maximum recursion depth,Number of maximum Transcripts/Gene,opt,Norm,Sparsity Constraint,Lambda,Mu,flowOptimization,CostFunctionIndex,maxAdditionalEdgeCount,Mode of Backtrack,Name of gtfFile,Name of csv-Resultfile,Name of jsonFile,Time,Number of Transcripts without Optimization,Number of Transcripts with Optimization,Number of genes with 0 Transcripts with Optimization,Average number of transcripts/gene without Optimization,Standard deviation of transcripts/gene without Optimization,Average number of transcripts/gene with Optimization,Standard deviation of transcripts/gene with Optimization,Average transcript size without Optimization,Standard deviation of transcriptSize without Optimization,Average transcript size with Optimization,Standard deviation of transcriptSize with Optimization,Average number of exons/Gene,Standard deviation of exons/Gene,Number of single Exon transcripts without Optimization,Number of single Exon transcripts with Optimization,Number of total Genes,Number of Genes exceeding maxTranscripts,Number of Genes exceeding maxRecursion,Number of Genes exceeding maxPairedBins,True positives,False positives,Total positives,False negatives,Total Transcripts of ReferenceGTF,Sensitivity on IntronChainLevel,Precision on IntronChainLevel,Fuzzy Sensitivity on IntronChainLevel,Fuzzy Precision on IntronChainLevel,Fraction exceeding Transcripts
../Data/Human_Geauvadis_simulated/human_geuvadis_simulated_5sets.graph,cleaned,1,0,0,0,276,10000,1,2,-1,None,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2_norm2.csv,None,1312.282,97597,38103,647,4.489075939469205,34.74267255152945,1.8063430359343888,1.6882906408836118,15.067411381592995,11.63484679187604,10.118678319292444,9.344754009652837,17.85267466997838,20.5825297220564,19,19,21741,0,0,0,16282,20848,37130,100686,116968,15.1,43.9,90.0,100.0,0.0
../Data/Human_Geauvadis_simulated/human_geuvadis_simulated_5sets.graph,cleaned,1,0,0,0,276,10000,1,2,1,1,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2_norm2.csv,None,1077.106,97597,38091,648,4.489075939469205,34.74267255152945,1.8058597639027163,1.6893705538048334,14.880015919196357,11.732185361035926,10.124045050011814,9.387891084050988,17.85267466997838,20.5825297220564,19,19,21741,0,0,0,16235,20861,37096,100733,116968,15.0,43.8,89.3,100.0,0.0
../Data/Human_Geauvadis_simulated/human_geuvadis_simulated_5sets.graph,cleaned,1,0,0,0,276,10000,1,2,1,5,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2_norm2.csv,None,1053.89,97597,38069,647,4.489075939469205,34.74267255152945,1.80473120318574,1.6708290293104957,15.067411381592995,11.63484679187604,10.102182878457535,9.358406134757798,17.85267466997838,20.5825297220564,19,19,21741,0,0,0,16235,20841,37076,100733,116968,15.0,43.8,89.3,100.0,0.0
../Data/Human_Geauvadis_simulated/human_geuvadis_simulated_5sets.graph,cleaned,1,0,0,0,276,10000,1,2,0,1,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2_norm2.csv,None,1246.992,97597,37898,648,4.489075939469205,34.74267255152945,1.796709808941355,1.6779983715798652,15.067929982334991,11.650102707873137,10.041690854398649,9.272989819746089,17.85267466997838,20.5825297220564,19,19,21741,0,0,0,16095,20849,36944,100873,116968,14.9,43.6,89.4,100.0,0.0
../Data/Human_Geauvadis_simulated/human_geuvadis_simulated_5sets.graph,cleaned,1,0,0,0,276,10000,1,2,0,5,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2_norm2.csv,None,1341.406,97597,37501,650,4.489075939469205,34.74267255152945,1.778056991133659,1.600528670000756,14.88975519328281,11.637156856703728,9.992720194128156,9.244799637436529,17.85267466997838,20.5825297220564,19,19,21741,0,0,0,16048,20511,36559,100920,116968,14.9,43.9,86.9,100.0,0.0
../Data/Human_Leukemia_Real/human_leukemia_real_5sets.graph,cleaned,1,0,0,0,307,10000,1,2,1,1,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2_norm2.csv,None,472.065,147295,13024,768,17.394307982994803,229.47939046176725,1.6914285714285715,1.7088674199321636,19.94377660186357,13.3672279857417,10.304668304668304,9.769103817691526,19.50979466603729,23.29030477675652,12,12,8474,6,0,0,3408,9182,12590,223403,226811,1.7,27.1,18.5,100.0,0.07080481472740147
../Data/Human_Leukemia_Real/human_leukemia_real_5sets.graph,cleaned,1,0,0,0,307,10000,1,2,1,5,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2_norm2.csv,None,462.177,147295,13003,768,17.394307982994803,229.47939046176725,1.6887012987012986,1.6809723021609138,19.94377660186357,13.3672279857417,10.27255248788741,9.723559726273985,19.50979466603729,23.29030477675652,12,12,8474,6,0,0,3405,9164,12569,223406,226811,1.7,27.1,18.4,100.0,0.07080481472740147
../Data/Human_Leukemia_Real/human_leukemia_real_5sets.graph,cleaned,1,0,0,0,307,10000,1,2,1,10,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2_norm2.csv,None,463.597,147295,12987,768,17.394307982994803,229.47939046176725,1.6866233766233767,1.7683343551072075,19.94377660186357,13.3672279857417,10.406483406483408,9.861184886053818,19.50979466603729,23.29030477675652,12,12,8474,6,0,0,3392,9158,12550,223419,226811,1.7,27.0,18.9,100.0,0.07080481472740147
../Data/Human_Leukemia_Real/human_leukemia_real_5sets.graph,cleaned,1,0,0,0,307,10000,1,2,0,1,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2_norm2.csv,None,520.558,147295,12992,769,17.394307982994803,229.47939046176725,1.6874918820626057,1.6994988589453628,19.99025709632388,13.429984168762436,10.268088054187192,9.741067880720175,19.50979466603729,23.29030477675652,12,12,8474,6,0,0,3360,9199,12559,223451,226811,1.7,26.8,18.8,100.0,0.07080481472740147
../Data/Human_Leukemia_Real/human_leukemia_real_5sets.graph,cleaned,1,0,0,0,307,10000,1,2,0,5,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2_norm2.csv,None,541.23,147295,12795,770,17.394307982994803,229.47939046176725,1.662120031176929,1.5866212693141324,19.066983344356924,12.588978894999222,10.125283313794451,9.642443735151105,19.50979466603729,23.29030477675652,12,12,8474,6,0,0,3341,9025,12366,223470,226811,1.7,27.0,17.8,100.0,0.07080481472740147
../Data/Human_Leukemia_Real/human_leukemia_real_5sets.graph,cleaned,1,0,0,0,307,10000,1,2,0,10,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2_norm2.csv,None,564.509,147295,12732,771,17.394307982994803,229.47939046176725,1.6541509679095752,1.565170789194298,18.627745664739884,11.983967475998131,10.083804586867736,9.549920024232325,19.50979466603729,23.29030477675652,12,12,8474,6,0,0,3349,8949,12298,223462,226811,1.7,27.2,17.7,100.0,0.07080481472740147
../Data/Human_Diverse/SRR307903.graph,cleaned,1,0,0,0,989,10000,1,2,-1,None,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2_norm2.csv,None,1061.642,86268,37091,346,3.651246455326533,42.12768373266665,1.593187577853185,1.3380192499772194,18.28763901743313,19.47265678159233,10.048879782157396,11.122459093119016,14.70485420457912,20.814543061570543,47,47,23629,2,0,0,11456,23651,35107,215355,226811,5.8,32.6,43.2,100.0,0.008464175377713826
../Data/Human_Diverse/SRR307903.graph,cleaned,1,0,0,0,989,10000,1,2,1,1,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2_norm2.csv,None,1083.037,86268,37101,346,3.651246455326533,42.12768373266665,1.5936171126669816,1.3323591507111647,18.28763901743313,19.47265678159233,10.031805072639552,11.074290264036655,14.70485420457912,20.814543061570543,47,47,23629,2,0,0,11435,23702,35137,215376,226811,5.8,32.5,43.2,100.0,0.008464175377713826
../Data/Human_Diverse/SRR307903.graph,cleaned,1,0,0,0,989,10000,1,2,1,5,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2_norm2.csv,None,1078.116,86268,37067,346,3.651246455326533,42.12768373266665,1.5921566943000731,1.3343294358917062,18.28763901743313,19.47265678159233,10.050449186608034,11.127202962450982,14.70485420457912,20.814543061570543,47,47,23629,2,0,0,11432,23681,35113,215379,226811,5.8,32.6,43.2,100.0,0.008464175377713826
../Data/Human_Diverse/SRR307903.graph,cleaned,1,0,0,0,989,10000,1,2,1,10,-1,0,-1,None,None,transcripts.gtf,../Results/resultsWP2_norm2.csv,None,1113.676,86268,33409,346,3.651246455326533,42.12768373266665,1.4350328594132555,1.4430480817759053,18.28763901743313,19.47265678159233,10.931994372773804,11.371598965284836,14.70485420457912,20.814543061570543,47,47,23629,2,0,0,11305,20297,31602,215506,226811,5.7,35.8,43.2,100.0,0.008464175377713826
